,Topline_csat,billing_csat,client_id,claim_csat_t3b,role,ee_csat_t3b_tem,ee_csat_t3b_vb,ee_csat_t3b_ltd,billing_m,issue_m,csat_onbrd,lives_group,Tenure_bin,hrc_flag,total_leave_indicator,has_TCS,BrkrSeg_1,DataFeedInd,LTD_ind,STD_ind,Dent_ind,VSN_ind,LIF_ind,ADD_ind,VB_ind,FML_ind,issue_handling_csat
7950,9,10,1251358067,1,3,1,,,0,0.833333333,9,100to499,6to10,0,FALSE,0,f. $50K - $500K,Y,1,1,0,0,1,1,1,0,7
7951,9,6,838870173,1,3,1,,,1,0.766666667,5,LT100,3to5,0,FALSE,0,h. $5M - $50M,Y,0,1,0,1,1,1,1,0,
7952,10,10,804846,,2,,,,0,0.5,10,LT100,6to10,0,FALSE,0,i. >$50M,N,1,0,0,0,1,1,0,0,
7953,10,10,1358695209,1,4,1,,,,,,,,,,,,,,,,,,,,,1
7954,7,8,32388842,1,2,1,0.666666667,,0.166666667,0.333333333,2,GTE2000,GT10,0,FALSE,0,h. $5M - $50M,Y,1,1,0,0,1,1,1,0,
7955,9,9,5.55555E+15,1,2,1,,,,,,,,,,,,,,,,,,,,,
7956,9,8,1343813581,,3,0.3125,0.898203593,,,,,,,,,,,,,,,,,,,,
7957,8,6,1354769047,0.75,2,0.75,,,,,,,,,,,,,,,,,,,,,
7958,8,8,5.55555E+15,0,2,0,,,,,,,,,,,,,,,,,,,,,
7959,10,6,1115649377,1,4,1,0.8,,,,,,,,,,,,,,,,,,,,
7960,9,8,1514547086,,3,,,,,,,,,,,,,,,,,,,,,,
7961,4,3,1224853570,0.2,2,0.5,0,,,,,,,,,,,,,,,,,,,,
7962,9,10,5.55555E+15,1,3,1,,1,,,,,,,,,,,,,,,,,,,
7963,8,10,5.55555E+15,1,2,1,,,,,,,,,,,,,,,,,,,,,
7964,8,5,866369093,1,2,1,,0.833333333,2.307692308,0.051948052,10,500to1999,6to10,0,FALSE,1,g. $500K - $5M,N,1,1,0,0,1,1,0,1,3
7965,10,9,1248094950,1,3,1,1,1,,,,,,,,,,,,,,,,,,,10
7966,7,6,5.55555E+15,0,1,0,,,,,,,,,,,,,,,,,,,,,10
7967,4,11,866787,0,2,0,,,,,,,,,,,,,,,,,,,,,
7968,9,9,1099230734,1,3,0.5,1,1,0.25,0.04,10,500to1999,6to10,0,FALSE,1,h. $5M - $50M,N,1,1,0,0,1,1,0,1,
7969,10,10,1128325957,1,2,1,,,,,,,,,,,,,,,,,,,,,
7970,9,10,982041758,1,4,1,,,0,0.5,,100to499,,0,FALSE,0,g. $500K - $5M,N,0,0,0,1,0,0,0,0,
7971,10,8,747381457,1,2,1,,0,,,,,,,,,,,,,,,,,,,
7972,8,5,330497348,0,3,0,,,0,0,10,LT100,6to10,0,FALSE,0,g. $500K - $5M,N,1,0,0,0,1,1,0,0,7
7973,9,9,5.55555E+15,1,3,1,,,,,,,,,,,,,,,,,,,,,
7974,8,7,604338,0.2,2,0.2,,,,,,,,,,,,,,,,,,,,,
7975,7,6,5.55555E+15,,3,,,,,,,,,,,,,,,,,,,,,,
7976,10,10,678147002,1,3,1,,,,,,,,,,,,,,,,,,,,,
7977,8,8,1509363449,1,4,1,,,,,,,,,,,,,,,,,,,,,
7978,3,7,5.55555E+15,0,1,0,,,,,,,,,,,,,,,,,,,,,
7979,10,10,5.55555E+15,1,2,1,,,,,,,,,,,,,,,,,,,,,
7980,10,10,5.55555E+15,1,1,1,,,,,,,,,,,,,,,,,,,,,
7981,5,11,867777827,0,3,0,,1,0,0,10,GTE2000,3to5,1,TRUE,0,h. $5M - $50M,N,1,1,0,0,1,1,0,0,
7982,8,8,1576499635,1,4,1,0.75,,,,,,,,,,,,,,,,,,,,
7983,6,9,776853,0,2,0,,,1,0.272727273,10,LT100,6to10,0,FALSE,0,f. $50K - $500K,N,0,1,0,0,1,1,0,0,
